ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"172.67.158.52","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4606","1","2023-07-28T11:17:49.248Z","100","3111","3111"
"50.116.14.201","elite","AS63949","US","Akamai Technologies, Inc.","186","Linode","7497","socks5","4902","1","2023-07-28T11:17:46.548Z","100","3112","3113"
"104.36.7.57","elite","AS55077","US","Light Speed Technologies LLC","104","Light Speed Technologies LLC","1337","socks4","4997","1","2023-07-28T11:17:46.634Z","100","3139","3139"
"147.182.228.141","elite","AS14061","US","DigitalOcean, LLC","199","DigitalOcean, LLC","12345","socks5","4695","1","2023-07-28T11:17:46.550Z","92","2828","3076"
"50.47.75.211","elite","AS20055","US","Wholesail networks LLC","196","Ziply Fiber","5678","socks4","5093","1","2023-07-28T11:17:43.102Z","97","3023","3107"
"50.47.75.220","elite","AS20055","US","Wholesail networks LLC","189","Ziply Fiber","5678","socks4","4706","1","2023-07-28T11:17:43.102Z","97","3011","3100"
"208.113.155.176","elite","AS26347","US","New Dream Network, LLC","79","New Dream Network, LLC","12886","socks4","4898","1","2023-07-28T11:17:40.839Z","100","3057","3061"
"149.20.253.51","elite","AS18615","US","Mainstream Fiber Networks, LLC","100","Mainstream Fiber Networks, LLC","12551","socks4","4900","1","2023-07-28T11:17:37.532Z","100","3123","3133"
"99.26.74.89","elite","AS7018","US","AT&T Services, Inc.","137","Martha Martinez","39593","socks4","4802","1","2023-07-28T11:17:37.250Z","80","2513","3124"
"172.67.38.96","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","4901","1","2023-07-28T11:17:31.733Z","100","3060","3061"
"202.182.70.189","elite","AS7018","US","AT&T Services, Inc.","86","CABLE & FIBERLINK","13996","socks4","5013","2","2023-07-28T11:17:26.344Z","75","2320","3081"
"75.119.207.120","elite","AS26347","US","New Dream Network, LLC","187","New Dream Network, LLC","23456","socks5","2400","1","2023-07-28T11:17:26.243Z","100","3041","3042"
"199.60.103.160","elite","AS209242","US","Cloudflare London, LLC","14","HubSpot, Inc.","80","socks5","3690","1","2023-07-28T11:17:23.442Z","100","3082","3082"
"192.119.203.124","elite","AS30036","US","Mediacom Communications","165","Communication Construction Services","48678","socks4","4903","1","2023-07-28T11:17:23.438Z","99","3016","3050"
"104.16.143.127","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","4600","1","2023-07-28T11:17:22.823Z","100","2999","2999"
"192.252.215.5","elite","AS46562","US","Performive LLC","196","Performive LLC","16137","socks4","4813","1","2023-07-28T11:17:17.546Z","99","2964","3006"
"104.16.224.33","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4990","1","2023-07-28T11:17:17.635Z","100","3103","3106"
"104.27.83.183","elite","AS13335","US","Cloudflare, Inc.","81","Cloudflare, Inc.","80","socks4","4413","1","2023-07-28T11:17:14.540Z","100","2995","2995"
"198.251.79.65","elite","AS8560","US","IONOS SE","188","IONOS Inc","3128","socks4","5004","1","2023-07-28T11:17:14.538Z","100","3089","3089"
"147.182.239.59","elite","AS14061","US","DigitalOcean, LLC","153","DigitalOcean, LLC","60880","socks5","1798","1","2023-07-28T11:17:14.536Z","68","2075","3033"
"104.16.221.57","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","2494","1","2023-07-28T11:17:13.223Z","100","3053","3054"
"161.35.229.155","elite","AS14061","US","DigitalOcean, LLC","183","DigitalOcean, LLC","61658","socks5","4486","1","2023-07-28T11:17:09.545Z","100","3060","3061"
"149.28.44.246","elite","AS20473","US","The Constant Company","86","Vultr Holdings, LLC","10041","socks4","2404","1","2023-07-28T11:16:59.937Z","59","1754","2987"
"104.17.66.69","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","5002","1","2023-07-28T11:16:57.034Z","100","3109","3110"
"38.83.108.90","elite","AS63199","US","Cogent Communications","194","CDS Global Cloud Co., Ltd","5678","socks4","2798","1","2023-07-28T11:16:54.343Z","100","3133","3136"
"149.20.253.104","elite","AS18615","US","Mainstream Fiber Networks, LLC","100","Mainstream Fiber Networks, LLC","12551","socks4","4999","1","2023-07-28T11:16:54.345Z","100","3023","3030"
"75.119.205.127","elite","AS26347","US","New Dream Network, LLC","177","New Dream Network, LLC","32238","socks4","4093","1","2023-07-28T11:16:53.622Z","100","3090","3091"
"69.163.164.68","elite","AS26347","US","New Dream Network, LLC","200","New Dream Network, LLC","49538","socks4","4496","1","2023-07-28T11:16:51.843Z","100","3135","3136"
"38.127.179.87","elite","AS174","US","Cogent Communications","82","Torlandia Trading SRL","11537","socks5","4905","1","2023-07-28T11:16:51.942Z","100","3037","3040"
"216.107.129.135","elite","AS61317","US","Ipxo LLC","100","N/A","10180","socks5","5100","86","2023-07-28T11:16:43.607Z","100","3047","3047"
